Namespace(exp_name='exp', model='dgcnn', dataset='nagoya_dataset', batch_size=32, test_batch_size=32, epochs=250, use_sgd=True, lr=0.001, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, emb_dims=1024, k=20, model_path='')
Using GPU : 0 from 2 devices
Valdation 113, loss: 1.621601, validation acc: 0.852740, validation avg acc: 0.853025
Train 114, loss: 1.317914, train acc: 0.995660, train avg acc: 0.995929
Valdation 114, loss: 1.612387, validation acc: 0.873288, validation avg acc: 0.873763
Train 115, loss: 1.317522, train acc: 0.996528, train avg acc: 0.996612
Valdation 115, loss: 1.587404, validation acc: 0.876712, validation avg acc: 0.872380
Train 116, loss: 1.319516, train acc: 0.995660, train avg acc: 0.995792
Valdation 116, loss: 1.625362, validation acc: 0.869863, validation avg acc: 0.871267
Train 117, loss: 1.322715, train acc: 0.995660, train avg acc: 0.995825
Valdation 117, loss: 1.618459, validation acc: 0.859589, validation avg acc: 0.859771
Train 118, loss: 1.312411, train acc: 0.994792, train avg acc: 0.995119
Valdation 118, loss: 1.556018, validation acc: 0.910959, validation avg acc: 0.907320
Train 119, loss: 1.317669, train acc: 0.996528, train avg acc: 0.996546
Valdation 119, loss: 1.591476, validation acc: 0.883562, validation avg acc: 0.880466
Train 120, loss: 1.319128, train acc: 0.994792, train avg acc: 0.994711
Valdation 120, loss: 1.600972, validation acc: 0.873288, validation avg acc: 0.874985
Train 121, loss: 1.309373, train acc: 0.996528, train avg acc: 0.996718
Valdation 121, loss: 1.611843, validation acc: 0.869863, validation avg acc: 0.866135
Train 122, loss: 1.322606, train acc: 0.993924, train avg acc: 0.994109
Valdation 122, loss: 1.583048, validation acc: 0.883562, validation avg acc: 0.881802
Train 123, loss: 1.316593, train acc: 0.994792, train avg acc: 0.995040
Valdation 123, loss: 1.599430, validation acc: 0.869863, validation avg acc: 0.866873
Train 124, loss: 1.309174, train acc: 0.997396, train avg acc: 0.997486
Valdation 124, loss: 1.619215, validation acc: 0.859589, validation avg acc: 0.862142
Train 125, loss: 1.314322, train acc: 0.995660, train avg acc: 0.995555
Valdation 125, loss: 1.677370, validation acc: 0.828767, validation avg acc: 0.824341
Train 126, loss: 1.310052, train acc: 0.998264, train avg acc: 0.998348
Valdation 126, loss: 1.701328, validation acc: 0.797945, validation avg acc: 0.791053
Train 127, loss: 1.311291, train acc: 0.994792, train avg acc: 0.995135
Valdation 127, loss: 1.580031, validation acc: 0.890411, validation avg acc: 0.886352
Train 128, loss: 1.307498, train acc: 0.997396, train avg acc: 0.997463
Valdation 128, loss: 1.735195, validation acc: 0.797945, validation avg acc: 0.795781
Train 129, loss: 1.315505, train acc: 0.995660, train avg acc: 0.995751
Valdation 129, loss: 1.616284, validation acc: 0.866438, validation avg acc: 0.863428
Train 130, loss: 1.313246, train acc: 0.993056, train avg acc: 0.993030
Valdation 130, loss: 1.593526, validation acc: 0.873288, validation avg acc: 0.870217
Train 131, loss: 1.307947, train acc: 0.999132, train avg acc: 0.999060
Valdation 131, loss: 1.574279, validation acc: 0.900685, validation avg acc: 0.898020
Train 132, loss: 1.309437, train acc: 0.998264, train avg acc: 0.998486
Valdation 132, loss: 1.588083, validation acc: 0.869863, validation avg acc: 0.869014
Train 133, loss: 1.309259, train acc: 0.997396, train avg acc: 0.997389
Valdation 133, loss: 1.601918, validation acc: 0.876712, validation avg acc: 0.873438
Train 134, loss: 1.315265, train acc: 0.996528, train avg acc: 0.996639
Valdation 134, loss: 1.600520, validation acc: 0.866438, validation avg acc: 0.863616
Train 135, loss: 1.308938, train acc: 0.995660, train avg acc: 0.995868
Valdation 135, loss: 1.583248, validation acc: 0.886986, validation avg acc: 0.885772
Train 136, loss: 1.307359, train acc: 0.994792, train avg acc: 0.995026
Valdation 136, loss: 1.586124, validation acc: 0.876712, validation avg acc: 0.874674
Train 137, loss: 1.303570, train acc: 0.995660, train avg acc: 0.995820
Valdation 137, loss: 1.591239, validation acc: 0.883562, validation avg acc: 0.882600
Train 138, loss: 1.303270, train acc: 0.997396, train avg acc: 0.997423
Valdation 138, loss: 1.602621, validation acc: 0.883562, validation avg acc: 0.881248
Train 139, loss: 1.302728, train acc: 0.997396, train avg acc: 0.997498
Valdation 139, loss: 1.604536, validation acc: 0.876712, validation avg acc: 0.873780
Train 140, loss: 1.312607, train acc: 0.993056, train avg acc: 0.993144
Valdation 140, loss: 1.647567, validation acc: 0.869863, validation avg acc: 0.867782
Train 141, loss: 1.306178, train acc: 0.997396, train avg acc: 0.997406
Valdation 141, loss: 1.593317, validation acc: 0.880137, validation avg acc: 0.877808
Train 142, loss: 1.304581, train acc: 0.997396, train avg acc: 0.997399
Valdation 142, loss: 1.637998, validation acc: 0.880137, validation avg acc: 0.876952
Train 143, loss: 1.306250, train acc: 0.995660, train avg acc: 0.995920
Valdation 143, loss: 1.551570, validation acc: 0.910959, validation avg acc: 0.910917
Train 144, loss: 1.302803, train acc: 0.997396, train avg acc: 0.997274
Valdation 144, loss: 1.547138, validation acc: 0.907534, validation avg acc: 0.904175
Train 145, loss: 1.303033, train acc: 0.996528, train avg acc: 0.996262
Valdation 145, loss: 1.571551, validation acc: 0.897260, validation avg acc: 0.893330
Train 146, loss: 1.304120, train acc: 0.999132, train avg acc: 0.999206
Valdation 146, loss: 1.578509, validation acc: 0.883562, validation avg acc: 0.882002
Train 147, loss: 1.303711, train acc: 0.997396, train avg acc: 0.997462
Valdation 147, loss: 1.605847, validation acc: 0.869863, validation avg acc: 0.871304
Train 148, loss: 1.303676, train acc: 0.996528, train avg acc: 0.996632
Valdation 148, loss: 1.581106, validation acc: 0.907534, validation avg acc: 0.904530
Train 149, loss: 1.301403, train acc: 0.997396, train avg acc: 0.997393
Valdation 149, loss: 1.570612, validation acc: 0.880137, validation avg acc: 0.875750
Train 150, loss: 1.303352, train acc: 0.998264, train avg acc: 0.998339
Valdation 150, loss: 1.606180, validation acc: 0.876712, validation avg acc: 0.871921
Train 151, loss: 1.301946, train acc: 0.996528, train avg acc: 0.996570
Valdation 151, loss: 1.603904, validation acc: 0.883562, validation avg acc: 0.881579
Train 152, loss: 1.302147, train acc: 0.996528, train avg acc: 0.996687
Valdation 152, loss: 1.568592, validation acc: 0.883562, validation avg acc: 0.879721
Train 153, loss: 1.300980, train acc: 0.996528, train avg acc: 0.996593
Valdation 153, loss: 1.566033, validation acc: 0.890411, validation avg acc: 0.886713
Train 154, loss: 1.296625, train acc: 0.998264, train avg acc: 0.998339
Valdation 154, loss: 1.568049, validation acc: 0.880137, validation avg acc: 0.875880
Train 155, loss: 1.297199, train acc: 0.999132, train avg acc: 0.999179
Valdation 155, loss: 1.555300, validation acc: 0.907534, validation avg acc: 0.904407
Train 156, loss: 1.299919, train acc: 0.998264, train avg acc: 0.998239
Valdation 156, loss: 1.584807, validation acc: 0.869863, validation avg acc: 0.869719
Train 157, loss: 1.295637, train acc: 0.995660, train avg acc: 0.995849
Valdation 157, loss: 1.598242, validation acc: 0.873288, validation avg acc: 0.871241
Train 158, loss: 1.299375, train acc: 0.996528, train avg acc: 0.996667
Valdation 158, loss: 1.558662, validation acc: 0.890411, validation avg acc: 0.887689
Train 159, loss: 1.295218, train acc: 0.998264, train avg acc: 0.998411
Valdation 159, loss: 1.554393, validation acc: 0.900685, validation avg acc: 0.898577
Train 160, loss: 1.297097, train acc: 1.000000, train avg acc: 1.000000
Valdation 160, loss: 1.572712, validation acc: 0.886986, validation avg acc: 0.885074
Train 161, loss: 1.302450, train acc: 0.997396, train avg acc: 0.997617
Valdation 161, loss: 1.606693, validation acc: 0.890411, validation avg acc: 0.886708
Train 162, loss: 1.302501, train acc: 0.996528, train avg acc: 0.996689
Valdation 162, loss: 1.608552, validation acc: 0.890411, validation avg acc: 0.888500
Train 163, loss: 1.291231, train acc: 0.998264, train avg acc: 0.998239
Valdation 163, loss: 1.566434, validation acc: 0.883562, validation avg acc: 0.881704
Train 164, loss: 1.294944, train acc: 0.997396, train avg acc: 0.997467
Valdation 164, loss: 1.597720, validation acc: 0.886986, validation avg acc: 0.886130
Train 165, loss: 1.294890, train acc: 0.997396, train avg acc: 0.997556
Valdation 165, loss: 1.568967, validation acc: 0.893836, validation avg acc: 0.892034
Train 166, loss: 1.297054, train acc: 0.999132, train avg acc: 0.999060
Valdation 166, loss: 1.564069, validation acc: 0.893836, validation avg acc: 0.892960
Train 167, loss: 1.293934, train acc: 0.998264, train avg acc: 0.998239
Valdation 167, loss: 1.550574, validation acc: 0.900685, validation avg acc: 0.897671
Train 168, loss: 1.292673, train acc: 0.999132, train avg acc: 0.999169
Valdation 168, loss: 1.584598, validation acc: 0.883562, validation avg acc: 0.883196
Train 169, loss: 1.293731, train acc: 0.998264, train avg acc: 0.998275
Valdation 169, loss: 1.586501, validation acc: 0.890411, validation avg acc: 0.887299
Train 170, loss: 1.290702, train acc: 0.997396, train avg acc: 0.997399
Valdation 170, loss: 1.562081, validation acc: 0.886986, validation avg acc: 0.883659
Train 171, loss: 1.288665, train acc: 0.999132, train avg acc: 0.999169
Valdation 171, loss: 1.566426, validation acc: 0.904110, validation avg acc: 0.900799
Train 172, loss: 1.289370, train acc: 0.998264, train avg acc: 0.998239
Valdation 172, loss: 1.574173, validation acc: 0.893836, validation avg acc: 0.891764
Train 173, loss: 1.292674, train acc: 0.998264, train avg acc: 0.998502
Valdation 173, loss: 1.574309, validation acc: 0.900685, validation avg acc: 0.898177
Train 174, loss: 1.289528, train acc: 0.998264, train avg acc: 0.998239
