Namespace(exp_name='exp', model='dgcnn', dataset='nagoya_dataset', batch_size=32, test_batch_size=32, epochs=250, use_sgd=True, lr=0.001, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, emb_dims=1024, k=20, model_path='')
Using GPU : 0 from 2 devices
Valdation 165, loss: 2.952461, validation acc: 0.496575, validation avg acc: 0.472055
Train 166, loss: 1.370504, train acc: 0.979167, train avg acc: 0.978885
Valdation 166, loss: 2.795105, validation acc: 0.544521, validation avg acc: 0.516494
Train 167, loss: 1.374504, train acc: 0.974826, train avg acc: 0.974913
Valdation 167, loss: 2.629210, validation acc: 0.578767, validation avg acc: 0.555341
Train 168, loss: 1.370882, train acc: 0.979167, train avg acc: 0.978719
Valdation 168, loss: 2.578130, validation acc: 0.592466, validation avg acc: 0.570318
Train 169, loss: 1.376371, train acc: 0.980903, train avg acc: 0.980631
Valdation 169, loss: 2.992369, validation acc: 0.489726, validation avg acc: 0.463339
Train 170, loss: 1.368923, train acc: 0.981771, train avg acc: 0.981154
Valdation 170, loss: 2.667826, validation acc: 0.551370, validation avg acc: 0.526055
Train 171, loss: 1.367609, train acc: 0.981771, train avg acc: 0.981885
Valdation 171, loss: 2.677431, validation acc: 0.582192, validation avg acc: 0.553756
Train 172, loss: 1.370388, train acc: 0.980903, train avg acc: 0.980895
Valdation 172, loss: 2.721425, validation acc: 0.547945, validation avg acc: 0.523565
Train 173, loss: 1.369857, train acc: 0.980903, train avg acc: 0.979939
Valdation 173, loss: 2.709869, validation acc: 0.565068, validation avg acc: 0.539251
Train 174, loss: 1.363328, train acc: 0.984375, train avg acc: 0.984408
