Namespace(batch_size=2, dataset='nagoya_dataset', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='exp', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=2, use_sgd=True)
Using GPU : 0 from 1 devices
Namespace(batch_size=2, dataset='nagoya_dataset', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='exp', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=2, use_sgd=True)
Using GPU : 0 from 1 devices
Namespace(batch_size=2, dataset='nagoya_dataset', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='exp', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=2, use_sgd=True)
Using GPU : 0 from 1 devices
Namespace(batch_size=2, dataset='nagoya_dataset', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='exp', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=2, use_sgd=True)
Using GPU : 0 from 1 devices
Namespace(batch_size=32, dataset='nagoya_dataset', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='exp', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=32, use_sgd=True)
Using GPU : 0 from 1 devices
Namespace(exp_name='exp', model='dgcnn', dataset='nagoya_dataset', batch_size=64, test_batch_size=64, epochs=250, use_sgd=True, lr=0.001, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=2048, dropout=0.5, emb_dims=1024, k=20, model_path='')
Using GPU : 0 from 2 devices
Valdation 84, loss: 1.789685, validation acc: 0.777397, validation avg acc: 0.776888
Train 85, loss: 1.337390, train acc: 0.992188, train avg acc: 0.992113
Valdation 85, loss: 1.786399, validation acc: 0.780822, validation avg acc: 0.778480
Train 86, loss: 1.331064, train acc: 0.995660, train avg acc: 0.995833
Valdation 86, loss: 1.782957, validation acc: 0.801370, validation avg acc: 0.803382
Train 87, loss: 1.329018, train acc: 0.993924, train avg acc: 0.994180
Valdation 87, loss: 1.762385, validation acc: 0.791096, validation avg acc: 0.786199
Train 88, loss: 1.333432, train acc: 0.996528, train avg acc: 0.996396
Valdation 88, loss: 1.785975, validation acc: 0.780822, validation avg acc: 0.783420
Train 89, loss: 1.332531, train acc: 0.996528, train avg acc: 0.996565
Valdation 89, loss: 1.834605, validation acc: 0.753425, validation avg acc: 0.750030
Train 90, loss: 1.330168, train acc: 0.996528, train avg acc: 0.996737
Valdation 90, loss: 1.780832, validation acc: 0.808219, validation avg acc: 0.807596
Train 91, loss: 1.323063, train acc: 0.997396, train avg acc: 0.997450
Valdation 91, loss: 1.856359, validation acc: 0.760274, validation avg acc: 0.760719
Train 92, loss: 1.335608, train acc: 0.992188, train avg acc: 0.992746
Valdation 92, loss: 1.925001, validation acc: 0.739726, validation avg acc: 0.735287
Train 93, loss: 1.329982, train acc: 0.993924, train avg acc: 0.994098
Valdation 93, loss: 1.976426, validation acc: 0.729452, validation avg acc: 0.727774
Train 94, loss: 1.334882, train acc: 0.997396, train avg acc: 0.997454
Valdation 94, loss: 1.845138, validation acc: 0.746575, validation avg acc: 0.749634
Train 95, loss: 1.326783, train acc: 0.993924, train avg acc: 0.994319
Valdation 95, loss: 1.810317, validation acc: 0.763699, validation avg acc: 0.768511
Train 96, loss: 1.325254, train acc: 0.997396, train avg acc: 0.997521
Valdation 96, loss: 1.779332, validation acc: 0.784247, validation avg acc: 0.778692
Train 97, loss: 1.316062, train acc: 0.997396, train avg acc: 0.997396
Valdation 97, loss: 1.841815, validation acc: 0.777397, validation avg acc: 0.773821
Train 98, loss: 1.325791, train acc: 0.996528, train avg acc: 0.996750
Valdation 98, loss: 1.802318, validation acc: 0.780822, validation avg acc: 0.778147
Train 99, loss: 1.319157, train acc: 0.995660, train avg acc: 0.995775
