Namespace(exp_name='exp', model='dgcnn', dataset='nagoya_dataset', batch_size=64, test_batch_size=64, epochs=250, use_sgd=True, lr=0.001, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, emb_dims=1024, k=20, model_path='')
Using GPU : 0 from 2 devices
Train 112, loss: 1.307612, train acc: 0.997396, train avg acc: 0.997459
Valdation 112, loss: 1.768030, validation acc: 0.791096, validation avg acc: 0.782068
Train 113, loss: 1.310522, train acc: 0.993924, train avg acc: 0.994184
Valdation 113, loss: 1.625257, validation acc: 0.883562, validation avg acc: 0.882272
Train 114, loss: 1.307564, train acc: 0.997396, train avg acc: 0.997564
Valdation 114, loss: 1.614631, validation acc: 0.863014, validation avg acc: 0.860279
Train 115, loss: 1.303664, train acc: 0.998264, train avg acc: 0.998227
Valdation 115, loss: 1.644829, validation acc: 0.869863, validation avg acc: 0.870784
Train 116, loss: 1.307170, train acc: 0.995660, train avg acc: 0.995838
Valdation 116, loss: 1.676261, validation acc: 0.842466, validation avg acc: 0.845292
Train 117, loss: 1.306346, train acc: 0.997396, train avg acc: 0.997423
Valdation 117, loss: 1.656436, validation acc: 0.859589, validation avg acc: 0.857668
Train 118, loss: 1.304783, train acc: 0.997396, train avg acc: 0.997471
Valdation 118, loss: 1.621998, validation acc: 0.856164, validation avg acc: 0.857457
Train 119, loss: 1.306462, train acc: 0.995660, train avg acc: 0.995817
Valdation 119, loss: 1.650163, validation acc: 0.869863, validation avg acc: 0.869875
Train 120, loss: 1.304959, train acc: 0.995660, train avg acc: 0.995937
Valdation 120, loss: 1.614324, validation acc: 0.856164, validation avg acc: 0.860076
Train 121, loss: 1.299152, train acc: 0.997396, train avg acc: 0.997503
Valdation 121, loss: 1.611815, validation acc: 0.876712, validation avg acc: 0.875198
Train 122, loss: 1.302455, train acc: 0.997396, train avg acc: 0.997569
Valdation 122, loss: 1.625272, validation acc: 0.883562, validation avg acc: 0.883063
Train 123, loss: 1.302135, train acc: 0.995660, train avg acc: 0.995914
Valdation 123, loss: 1.675663, validation acc: 0.849315, validation avg acc: 0.846411
Train 124, loss: 1.300402, train acc: 0.996528, train avg acc: 0.996665
Valdation 124, loss: 1.650980, validation acc: 0.842466, validation avg acc: 0.846533
Train 125, loss: 1.306138, train acc: 0.997396, train avg acc: 0.997563
Valdation 125, loss: 1.717913, validation acc: 0.828767, validation avg acc: 0.826157
Train 126, loss: 1.300099, train acc: 0.998264, train avg acc: 0.998230
Valdation 126, loss: 1.601836, validation acc: 0.890411, validation avg acc: 0.891763
Train 127, loss: 1.298862, train acc: 0.999132, train avg acc: 0.999271
Valdation 127, loss: 1.620708, validation acc: 0.873288, validation avg acc: 0.874215
Train 128, loss: 1.304290, train acc: 0.996528, train avg acc: 0.996732
Valdation 128, loss: 1.707749, validation acc: 0.842466, validation avg acc: 0.841281
Train 129, loss: 1.306124, train acc: 0.997396, train avg acc: 0.997423
Valdation 129, loss: 1.687778, validation acc: 0.863014, validation avg acc: 0.864645
Train 130, loss: 1.298467, train acc: 0.998264, train avg acc: 0.998288
Valdation 130, loss: 1.658037, validation acc: 0.852740, validation avg acc: 0.847763
Train 131, loss: 1.295953, train acc: 0.999132, train avg acc: 0.999179
Valdation 131, loss: 1.609674, validation acc: 0.883562, validation avg acc: 0.884382
Train 132, loss: 1.296924, train acc: 0.997396, train avg acc: 0.997486
Valdation 132, loss: 1.648284, validation acc: 0.863014, validation avg acc: 0.862600
Train 133, loss: 1.297666, train acc: 0.998264, train avg acc: 0.998275
Valdation 133, loss: 1.652931, validation acc: 0.873288, validation avg acc: 0.874465
Train 134, loss: 1.294404, train acc: 0.999132, train avg acc: 0.999060
Valdation 134, loss: 1.609150, validation acc: 0.883562, validation avg acc: 0.884658
Train 135, loss: 1.299643, train acc: 0.997396, train avg acc: 0.997510
